Index,Rates,Deposit
"('1.0', '2.0')",0.0055093031880257826,0.0028310662446389134
"('2.0', '3.0')",0.005557498205334577,0.0028806957412288448
"('3.0', '4.0')",0.005695286491403495,0.0030225804762451514
"('4.0', '5.0')",0.0058871116817986735,0.0032200970832816367
"('5.0', '6.0')",0.006062329707167358,0.003400502072041345
"('6.0', '7.0')",0.006062934856848834,0.0034011251165539935
"('7.0', '8.0')",0.0065272068841817354,0.0038790869357732127
"('8.0', '9.0')",0.006212599504050065,0.0035552113984425038
"('9.0', '10.0')",0.006195316637738202,0.0035374183492273836
"('10.0', '11.0')",0.0061651959232817966,0.0035064082248768003
"('11.0', '12.0')",0.006201840232404221,0.00354413453038549
"('12.0', '13.0')",0.006574956026585532,0.003928239611487916
"('13.0', '14.0')",0.006663100141985456,0.004018972463606163
"('14.0', '15.0')",0.006751183122728266,0.004109639586407532
"('15.0', '16.0')",0.0065565426734772725,0.003909285115754058
"('16.0', '17.0')",0.006609401021378192,0.003963696567676367
"('17.0', '18.0')",0.006662237394029713,0.004018084390875254
"('18.0', '19.0')",0.006715051807887118,0.0040724486042715835
"('19.0', '20.0')",0.006767844279389479,0.00412678922676557
"('20.0', '21.0')",0.006238856041476559,0.0035822428103344794
"('21.0', '22.0')",0.006236366078774758,0.003579679375391054
"('22.0', '23.0')",0.006233876067381905,0.0035771158880710807
"('23.0', '24.0')",0.006231386007296669,0.0035745523483723396
"('24.0', '25.0')",0.006228895898517273,0.003571988756292832
"('25.0', '26.0')",0.0062264057410419404,0.003569425111831004
"('26.0', '27.0')",0.006223915534868896,0.0035668614149844124
"('27.0', '28.0')",0.006221425279996584,0.0035642976657512815
"('28.0', '29.0')",0.006218934976423229,0.0035617338641298346
"('29.0', '30.0')",0.006216444624147277,0.0035591700101176293
